Date,Close,125MA,Spread
2015-03-12,1970.59,1960.22224,10.36776
2015-03-13,1985.79,1959.65848,26.13152
2015-03-16,1987.33,1959.16184,28.16816
2015-03-17,2029.91,1959.12784,70.78216
2015-03-18,2028.45,1959.02056,69.42944
2015-03-19,2037.89,1959.03712,78.85288
2015-03-20,2037.24,1958.99168,78.24832
2015-03-23,2036.59,1958.78352,77.80648
2015-03-24,2041.37,1958.73256,82.63744
2015-03-25,2042.81,1958.64448,84.16552
2015-03-26,2022.56,1958.5108,64.0492
2015-03-27,2019.8,1958.43792,61.36208
2015-03-30,2030.04,1958.39312,71.64688
2015-03-31,2041.03,1958.44848,82.58152
2015-04-01,2028.45,1958.42296,70.02704
2015-04-02,2029.07,1958.44272,70.62728
2015-04-03,2045.42,1958.64536,86.77464
2015-04-06,2046.43,1959.08448,87.34552
2015-04-07,2047.03,1959.65144,87.37856
2015-04-08,2059.26,1960.3784,98.8816
2015-04-09,2058.87,1961.06608,97.80392
2015-04-10,2087.76,1962.04616,125.71384
2015-04-13,2098.92,1963.31016,135.60984
2015-04-14,2111.72,1964.78624,146.93376
2015-04-15,2119.96,1966.31192,153.64808
2015-04-16,2139.9,1968.02384,171.87616
2015-04-17,2143.5,1969.8212,173.6788
2015-04-20,2146.71,1971.7896,174.9204
2015-04-21,2144.79,1973.50744,171.28256
2015-04-22,2143.89,1975.33632,168.55368
2015-04-23,2173.41,1977.22784,196.18216
2015-04-24,2159.8,1979.05304,180.74696
2015-04-27,2157.54,1980.90784,176.63216
2015-04-28,2147.67,1982.63344,165.03656
2015-04-29,2142.63,1984.36904,158.26096
2015-04-30,2127.17,1985.69704,141.47296
2015-05-04,2132.23,1987.08344,145.14656
2015-05-06,2104.58,1988.20464,116.37536
2015-05-07,2091,1989.30888,101.69112
2015-05-08,2085.52,1990.51152,95.00848
2015-05-11,2097.38,1991.83912,105.54088
2015-05-12,2096.77,1993.12144,103.64856
2015-05-13,2114.16,1994.51576,119.64424
